姓名:student1, 國文:85, 英文:98, 數學:88, 
姓名:student2, 國文:59, 英文:63, 數學:54, 
姓名:student3, 國文:79, 英文:68, 數學:95, 
姓名:student4, 國文:89, 英文:54, 數學:81, 
姓名:student5, 國文:74, 英文:53, 數學:81, 
姓名:student6, 國文:50, 英文:74, 數學:73, 
姓名:student7, 國文:96, 英文:51, 數學:79, 
姓名:student8, 國文:84, 英文:63, 數學:63, 
姓名:student9, 國文:64, 英文:91, 數學:64, 
姓名:student10, 國文:89, 英文:71, 數學:96, 
姓名:student11, 國文:60, 英文:91, 數學:63, 
姓名:student12, 國文:78, 英文:86, 數學:71, 
姓名:student13, 國文:92, 英文:55, 數學:51, 
姓名:student14, 國文:95, 英文:89, 數學:89, 
姓名:student15, 國文:83, 英文:86, 數學:60, 
姓名:student16, 國文:53, 英文:73, 數學:50, 
姓名:student17, 國文:68, 英文:81, 數學:99, 
姓名:student18, 國文:64, 英文:70, 數學:69, 
姓名:student19, 國文:51, 英文:70, 數學:92, 
姓名:student20, 國文:90, 英文:93, 數學:52, 
姓名:student21, 國文:60, 英文:77, 數學:70, 
姓名:student22, 國文:75, 英文:66, 數學:72, 
姓名:student23, 國文:94, 英文:63, 數學:87, 
姓名:student24, 國文:72, 英文:68, 數學:90, 
姓名:student25, 國文:70, 英文:67, 數學:89, 
姓名:student26, 國文:97, 英文:98, 數學:94, 
姓名:student27, 國文:63, 英文:60, 數學:92, 
姓名:student28, 國文:87, 英文:94, 數學:55, 
姓名:student29, 國文:89, 英文:90, 數學:71, 
姓名:student30, 國文:87, 英文:79, 數學:94, 
姓名:student31, 國文:92, 英文:64, 數學:81, 
姓名:student32, 國文:89, 英文:52, 數學:100, 
姓名:student33, 國文:70, 英文:83, 數學:98, 
姓名:student34, 國文:68, 英文:52, 數學:52, 
姓名:student35, 國文:53, 英文:80, 數學:71, 
姓名:student36, 國文:83, 英文:71, 數學:62, 
姓名:student37, 國文:52, 英文:84, 數學:56, 
姓名:student38, 國文:90, 英文:52, 數學:81, 
姓名:student39, 國文:96, 英文:62, 數學:69, 
姓名:student40, 國文:72, 英文:96, 數學:61, 
姓名:student41, 國文:56, 英文:58, 數學:67, 
姓名:student42, 國文:91, 英文:53, 數學:64, 
姓名:student43, 國文:95, 英文:90, 數學:69, 
姓名:student44, 國文:93, 英文:90, 數學:89, 
姓名:student45, 國文:53, 英文:55, 數學:78, 
姓名:student46, 國文:60, 英文:57, 數學:54, 
姓名:student47, 國文:90, 英文:57, 數學:82, 
姓名:student48, 國文:94, 英文:53, 數學:67, 
姓名:student49, 國文:59, 英文:52, 數學:82, 
姓名:student50, 國文:71, 英文:94, 數學:71, 
